<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
HYDR,D,20200901,000000,0.7375000
HYDR,D,20200902,000000,0.7308000
HYDR,D,20200903,000000,0.7290000
HYDR,D,20200904,000000,0.7265000
HYDR,D,20200907,000000,0.7277000
HYDR,D,20200908,000000,0.7218000
HYDR,D,20200909,000000,0.7365000
HYDR,D,20200910,000000,0.7434000
HYDR,D,20200911,000000,0.7455000
HYDR,D,20200914,000000,0.7440000
HYDR,D,20200915,000000,0.7515000
HYDR,D,20200916,000000,0.7490000
HYDR,D,20200917,000000,0.7605000
HYDR,D,20200918,000000,0.7697000
HYDR,D,20200921,000000,0.7551000
HYDR,D,20200922,000000,0.7629000
HYDR,D,20200923,000000,0.7538000
HYDR,D,20200924,000000,0.7600000
HYDR,D,20200925,000000,0.7540000
HYDR,D,20200928,000000,0.7581000
HYDR,D,20200929,000000,0.7579000
HYDR,D,20200930,000000,0.7609000
HYDR,D,20201001,000000,0.7654000
