<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MVID,D,20200901,000000,572.5000000
MVID,D,20200902,000000,579.0000000
MVID,D,20200903,000000,578.0000000
MVID,D,20200904,000000,562.8000000
MVID,D,20200907,000000,568.5000000
MVID,D,20200908,000000,567.5000000
MVID,D,20200909,000000,586.4000000
MVID,D,20200910,000000,586.4000000
MVID,D,20200911,000000,583.0000000
MVID,D,20200914,000000,583.4000000
MVID,D,20200915,000000,582.1000000
MVID,D,20200916,000000,580.8000000
MVID,D,20200917,000000,583.4000000
MVID,D,20200918,000000,576.0000000
MVID,D,20200921,000000,590.2000000
MVID,D,20200922,000000,603.3000000
MVID,D,20200923,000000,603.7000000
MVID,D,20200924,000000,636.0000000
MVID,D,20200925,000000,628.8000000
MVID,D,20200928,000000,653.5000000
MVID,D,20200929,000000,656.6000000
MVID,D,20200930,000000,679.1000000
MVID,D,20201001,000000,683.7000000
