<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,D,20200901,000000,1106.0000000
NVTK,D,20200902,000000,1097.0000000
NVTK,D,20200903,000000,1095.0000000
NVTK,D,20200904,000000,1130.4000000
NVTK,D,20200907,000000,1113.6000000
NVTK,D,20200908,000000,1102.8000000
NVTK,D,20200909,000000,1092.0000000
NVTK,D,20200910,000000,1078.0000000
NVTK,D,20200911,000000,1077.8000000
NVTK,D,20200914,000000,1091.2000000
NVTK,D,20200915,000000,1118.2000000
NVTK,D,20200916,000000,1114.4000000
NVTK,D,20200917,000000,1125.0000000
NVTK,D,20200918,000000,1122.0000000
NVTK,D,20200921,000000,1092.0000000
NVTK,D,20200922,000000,1087.6000000
NVTK,D,20200923,000000,1054.0000000
NVTK,D,20200924,000000,1063.0000000
NVTK,D,20200925,000000,1081.4000000
NVTK,D,20200928,000000,1092.0000000
NVTK,D,20200929,000000,1073.2000000
NVTK,D,20200930,000000,1064.0000000
NVTK,D,20201001,000000,1050.4000000
