<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX.SBER:SMAL,D,20200901,000000,228.7700000
MOEX.SBER:SMAL,D,20200902,000000,222.8700000
MOEX.SBER:SMAL,D,20200903,000000,222.2000000
MOEX.SBER:SMAL,D,20200904,000000,221.8400000
MOEX.SBER:SMAL,D,20200907,000000,221.6200000
MOEX.SBER:SMAL,D,20200908,000000,216.0200000
MOEX.SBER:SMAL,D,20200909,000000,218.0500000
MOEX.SBER:SMAL,D,20200910,000000,220.6900000
MOEX.SBER:SMAL,D,20200911,000000,222.0000000
MOEX.SBER:SMAL,D,20200914,000000,228.6200000
MOEX.SBER:SMAL,D,20200915,000000,230.0000000
MOEX.SBER:SMAL,D,20200916,000000,231.6200000
MOEX.SBER:SMAL,D,20200917,000000,232.8700000
MOEX.SBER:SMAL,D,20200918,000000,230.3000000
MOEX.SBER:SMAL,D,20200921,000000,226.8200000
MOEX.SBER:SMAL,D,20200922,000000,228.8300000
MOEX.SBER:SMAL,D,20200923,000000,228.7700000
MOEX.SBER:SMAL,D,20200924,000000,229.8200000
MOEX.SBER:SMAL,D,20200925,000000,227.7400000
MOEX.SBER:SMAL,D,20200928,000000,228.5500000
MOEX.SBER:SMAL,D,20200929,000000,225.7900000
MOEX.SBER:SMAL,D,20200930,000000,230.2800000
MOEX.SBER:SMAL,D,20201001,000000,227.5000000
